"Now Shopping by","Ora acquista per"
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Quando si rimuove o si aggiunge un attributo, verranno aggiornate automaticamente tutte le configurazioni e sarà necessario ricreare manualmente le configurazioni attuali."
"Please select attribute(s).","Seleziona uno o più attributi."
"Generate Products","Genera prodotti"
"Buy %1 for %2 each and","Acquista %1 a %2 ognuno e"
save,salva
"Configurable Product Image","Immagine del prodotto configurabile"
"As low as: ","A partire da: "
"Could not update option with id ""%1""","Impossibile aggiornare l'opzione con id ""%1"""
"Product already has this option","Il prodotto ha già questa opzione"
"The configurable product does not have any variation attribute.","Il prodotto configurabile non ha nessuna variazione attributo."
"Product with id ""%1"" does not exist.","Il prodotto con l'id ""%1"" non esiste."
"Products ""%1"" and %2 have the same set of attribute values.","I prodotti ""%1"" e %2 hanno gli stessi valori di set di attributi."
"Configurable product ""%1"" do not have sub-products","Il prodotto configurabile ""%1"" non ha sub-prodotti"
"Step 3: Bulk Images, Price, and Quantity","Passo 3: immagini Bulk, prezzo e quantità"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","I nuovi prodotti verranno creati <span class=""new-products-count"" data-bind=""text:countVariations""></span>         in base alle tue selezioni. Usa questo passaggio per personalizzare le immagini ed il prezzo dei nuovi prodotti."
"Edit role","Modifica ruolo"
"Please, select attribute for the section ","Seleziona un attributo per la sezione "
"Please fill in the values for the section ","Compila i valori per questa sezione "
"Please, fill correct values","Inserisci i valori corretti"
"Please, select image(s) for your attribute","Seleziona le immagini per il tuo attributo"
"Please choose image(s)","Scegli le immagini"
"Please, select attribute(s)","Seleziona uno o più attributi"
"The product is already attached.","Il prodotto è già allegato."
"The parent product doesn't have configurable product options.","Il prodotto padre non ha opzioni di prodotto configurabili."
"Configurable product ""%1"" does not have sub-products","Il prodotto configurabile ""%1"" non ha sub-prodotti"
"We can't find the role for the user you wanted.","Non riusciamo a trovare il ruolo per l'utente desiderato."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Qualcosa è andato storto durante la compilazione di un elenco di risorse consentite. Puoi trovare ulteriori informazioni nel registro dell'eccezioni."
"The role wasn't found for the user. Verify the role and try again.","Il ruolo non è stato trovato per l'utente. Verifica il ruolo e riprova."
"System Backup","Backup di sistema"
"Database and Media Backup","Backup Database e Media"
"Database Backup","Backup del database"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L'archivio può essere decompresso con <a href=""%1"">%2</a> su sistemi Windows."
"You need more permissions to activate maintenance mode right now.","In questo momento hai bisogno di maggiori permessi per attivare la modalità manutenzione."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Per creare il backup, deseleziona ""Imposta il negozio in modalità di manutenzione"" o aggiorna i tuoi permessi."
"Something went wrong while putting your store into maintenance mode.","Qualcosa è andato storto nel mettere il tuo negozio in modalità manutenzione."
"You need more free space to create a backup.","Hai bisogno di più spazio libero per creare un backup."
"You need more permissions to create a backup.","Hai bisogno di maggiori permessi per creare un backup."
"We can't create the backup right now.","Non è possibile creare il backup in questo momento."
"We can't delete one or more backups.","Non è possibile eliminare uno o più backup."
failed,"non riuscito"
successful,"con successo"
"You deleted the selected backup(s).","Hai eliminato i backup selezionati."
"Can't load snapshot archive","Impossibile caricare l'archivio snapshot"
"Please correct the password.","Correggi la password."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Per completare il rollback, deseleziona ""Imposta il negozio in modalità manutenzione"" o aggiorna i tuoi permessi."
"We can't find the backup file.","Impossibile trovare il file di backup."
"We can't connect to the FTP right now.","Impossibile connettersi via FTP in questo momento."
"Failed to validate FTP.","Impossibile convalidare FTP."
"You need more permissions to perform a rollback.","Hai bisognodi maggiori permessi per eseguire un rollback."
"Failed to rollback.","Impossibile eseguire il rollback."
"Database and Media","Database e Media"
"System (excluding Media)","Sistema (escluso Media)"
"You created the system backup.","È stato creato il backup del sistema."
"You created the system backup (excluding media).","È stato creato il backup del sistema (escluso media)."
"You created the database and media backup.","Hai creato un backup database e media."
"You created the database backup.","Hai creato il backup del database."
"Please correct the order of creation for a new backup.","Si prega di correggere l'ordine di creazione per un nuovo backup."
"The backup file does not exist.","Il file di backup non esiste."
"The backup file path was not specified.","Il percorso del file di backup non è stato specificato."
"The backup file ""%1"" does not exist.","Il file di backup ""%1"" non esiste."
"Sorry, but we cannot read from or write to backup file ""%1"".","Ci dispiace, ma non possiamo leggere o scrivere nel file di backup ""%1""."
"The backup file handler was unspecified.","Il gestore di file di backup non è stato specificato."
"Something went wrong while writing to the backup file ""%1"".","Qualcosa è andato storto durante la scrittura del file di backup ""%1""."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Perderai tutti i dati creati da quando è stato effettuato il backup, inclusi gli ordini, clienti e utenti admin."
"Are you sure you want to continue?","Sei sicuro di voler continuare?"
"This may take a few moments.","Questa operazione potrebbe richiedere un po' di tempo."
"Be sure your store is in maintenance mode during backup.","Assicurati che il tuo negozio sia in modalità di manutenzione durante il backup."
"Backup Name","Nome del backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Si prega di utilizzare solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Maintenance mode","Modalità manutenzione"
"Please put your store into maintenance mode during backup.","Imposta il tuo store in modalità di manutenzione durante il backup."
"Exclude media folder from backup","Escludi la cartella media dal backup"
"Please enter the password to confirm rollback.","Inserisci la password per confermare il ripristino."
"This action cannot be undone.","Questa azione non può essere annullata."
"User Password","Password utente"
"Please put your store into maintenance mode during rollback processing.","Imposta il negozio in modalità di manutenzione durante l'elaborazione del rollback."
"Use FTP Connection","Usa la connessione FTP"
"FTP credentials","Credenziali FTP"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Password FTP"
"Magento root directory","Root directory di Magento"
"Create Backup","Crea Backup"
"Scheduled Backup Settings","Impostazioni backup pianificati"
"Enable Scheduled Backup","Abilita backup pianificati"
"Backup Type","Tipo di backup"
"Maintenance Mode","Modalità manutenzione"
"Are you sure you want to delete the selected backup(s)?","Sei sicuro di che voler eliminare i backup selezionati?"
Size(bytes),Dimensione(bytes)
"Backup functionality is disabled","La funzionalità di backup è disabilitata"
"Backup Settings","Impostazioni di Backup"
"Enable Backup","Abilita il Backup"
"Scheduled Backup Type","Tipo di backup pianificato"
"Edit Event","Modifica evento"
"Add Event","Aggiungi evento"
"Add Catalog Event","Aggiungi Evento Catalogo"
"Back to Category","Torna alla categoria"
"Edit Catalog Event","Modifica Evento Catalogo"
"Catalog Event Information","Informazioni sugli eventi di catalogo"
"Display Countdown Ticker On","Visualizza Countdown ticker su"
"Category Page","Pagina di categoria"
"Product Page","Pagina prodotto"
"Coming Soon","Presto in arrivo"
"Sale Ends In","La promozione scade tra"
"You deleted the event.","Hai cancellato l'evento."
"New Event","Nuovo evento"
"Something went wrong while saving this event.","Qualcosa è andato storto durante il salvataggio di questo evento."
"We did not upload your image.","La tua immagine non è stata caricata."
"You saved the event.","Hai salvato l'evento."
"%1 is required.","%1 è richiesto."
"Please make sure the end date follows the start date.","Per favore assicurati che la data di fine segua la data di inizio."
"Event for selected category","Evento per la categoria selezionata"
"Lister Block","Blocco Lister"
"This product is no longer on sale.","Questo prodotto non è più in promozione."
"Some of these products can no longer be sold.","Alcuni di questi prodotti non possono più essere venduti."
Days,Giorni
Hrs,Ore
Mins,Min
"Preview Sale","Anteprima Promozione"
"Go To Sale","Vai alla vendita"
"View Sale","Vedi Promozione"
"Catalog Events","Eventi catalogo"
"Enable Catalog Events Functionality","Abilitare la funzionalità degli eventi catalogo"
"Enable Catalog Event Widget on Storefront","Abilita widget degli eventi catalogo nel frontend"
"Number of Events to be Displayed in Event Slider Widget","Numero di eventi da visualizzare nel Widget slider evento"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","È possibile ignorare questo valore predefinito nel CMS utilizzando la variabile limit=""x"". Lasciare vuoto per non impostare limitazioni."
"Events to Scroll per Click in Event Slider Widget","Eventi a scorrimento per ogni click nel widget slider evento"
"You can override this default value in CMS using the limit=""x"" variable.","È possibile ignorare questo valore predefinito nel CMS utilizzando la variabile limit=""x""."
"Catalog Events Carousel","Carousel Eventi catalogo"
"List all open Catalog Events as a Paginated Carousel","Elencare tutti gli eventi catalogo aperti come un Carousel paginato"
"Frame Size","Dimensione del frame"
"Number of Items to display at once","Numero di elementi da visualizzare alla volta"
Scroll,Scorrimento
"Number of Items to scroll per click","Numero di elementi da scorrere per ogni click"
"Block Custom Width","Larghezza del blocco personalizzato"
"If empty, we'll automatically set the width value in pixels.","Se vuota, viene stabilito automaticamente il valore della larghezza in pixel."
"Catalog Events Carousel Default Template","Template predefinito Carousel eventi catalogo"
"Category ID","ID categoria"
"Edit Event...","Modifica evento..."
"Add Event...","Aggiungi evento..."
Invitations,Inviti
"Add Invitations","Aggiungi gli inviti"
"New Invitations","Nuovi inviti"
"Invitations Information","Informazioni Inviti"
"Enter Each Email on New Line","Inserisci ogni email in una nuova riga"
"Invitee Group","Gruppo invitato"
"View Invitation for %1 (ID: %2)","Vedi invito per %1 (ID: %2)"
"Discard Invitation","Scarta invito"
"Are you sure you want to discard this invitation?","Sei sicuro di voler scartare questo invito?"
"Save Invitation","Salva Invito"
"Send Invitation","Invia invito"
"Default from System Configuration","Predefinito dalle Configurazioni di Sistema"
"Status History","Cronologia Status"
"Order Conversion Rate","Tasso di conversione degli ordini"
"We can't find this invitation.","Non riusciamo a trovare questo invito."
"Please select invitations.","Selezionare gli inviti."
"We discarded %1 of %2 invitations.","Scartati %1 di %2 inviti."
"We skipped %1 of the selected invitations.","Abbiamo saltato %1 degli inviti selezionati."
"Something went wrong while sending invitations.","Qualcosa è andato storto durante l'invio degli inviti."
"No invitations have been resent.","Nessun invito è stato reinviato."
"You sent %1 of %2 invitation(s).","Hai mandato %1 di %2 inviti."
"Something went wrong while sending %1 invitations.","Qualcosa è andato storto durante l'invio degli inviti %1."
"We discarded %1 invitation(s) addressed to current customers.","Abbiamo scartato %1 invito(i) indirizzati agli attuali clienti."
"Please specify at least one email address.","Specificare almeno un indirizzo email."
"We sent %1 invitation(s).","Abbiamo inviato %1 invito(i)."
"Something went wrong while sending %1 of %2 invitations.","Qualcosa è andato storto durante l'invio di %1 di %2 inviti."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 inviti non sono stati inviati perché esistono già account cliente per questi indirizzi email."
"The invitation has been saved.","L'invito è stato salvato."
"Invitation Report by Customers","Report invito per clienti"
"Invited Customers Report","Report clienti invitati"
"General Report","Report Generale"
"Invitations Report","Report inviti"
"Invitation Report by Order Conversion Rate","Report inviti per ordine tasso di conversione"
"Conversion Rate Report","Report tasso di conversione"
"The wrong customer account is specified.","Viene specificato l'account cliente sbagliato."
"Please enter a correct confirmation key.","Inserisci una chiave di conferma corretta."
"Bad request.","Richiesta non valida."
"Your invitation is not valid. Please create an account.","L'invito non è valido. Crea un account."
"Your invitation is not valid. Please contact us at %1.","L'invito non è valido. Vi preghiamo di contattarci presso %1."
"We can't save this customer.","Non è possibile salvare il cliente."
"My Invitations","I miei inviti"
"You sent the invitation for %1.","Hai inviato l'invito per %1."
"Something went wrong while sending an email to %1.","Qualcosa è andato storto durante l'invio di una email a %1."
"We did not send %1 invitation(s) addressed to current customers.","Non abbiamo inviato %1 indirizzi inviti ai clienti attuali."
"Send Invitations","Inviare inviti"
"Max Invitations Allowed to be Sent at One Time","Gli inviti massimi permessi possono essere inviati una sola volta"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Correggi il valore del parametro ""%1"", altrimenti verrà utilizzato il valore salvato."
"Same as Inviter","Come l'invitante"
"Default Customer Group from System Configuration","Gruppo cliente predefinito dalla configurazione di sistema"
"By Invitation Only","Solo su invito"
"Available to All","Disponibile a tutti"
"Please correct the invitation code.","Correggi il codice invito."
"You need to specify a customer ID group.","È necessario specificare un gruppo di ID cliente."
"The wrong store is specified.","Il negozio specificato è errato."
"You can't update this message.","Non è possibile aggiornare questo messaggio."
"We can't generate encrypted code.","Non è possibile generare il codice criptato."
"We can't find an ID for this invitation.","Non è possibile trovare un ID per questo invito."
"You can't send an invitation with status ""%1"".","Non è possibile inviare un invito con stato ""%1""."
"Please enter a valid invitation email.","Inserisci un indirizzo email invito valido."
"We can't identify the proper website.","Non è possibile identificare il website appropriato."
"This invitation is addressed to a current customer: ""%1"".","Questo invito è rivolto a un cliente attuale: ""%1""."
"This invitation is not valid.","Questo invito non è valido."
"Please correct the invitation email.","Correggi l'email di invito."
"Invitation for same email address","Inviti per stesso indirizzo email"
Accepted,Accettato
Discarded,Scartato
"Invitation Information","Informazioni invito"
"Send At","Invia a"
"Invitation Message","Messaggio di invito"
"Signed Up At","Iscritto a"
"Invitation URL","URL di invito"
"Invitee Information","Informazioni invitato"
"Customer ID","ID cliente"
"Sign Up At","Registrati su"
"Inviter Information","Informazioni dell'invitante"
"Invite your friends by entering their email addresses","Invita i tuoi amici inserendo i loro indirizzi email"
"Back to Invitations","Torna a inviti"
"Enter Email","Inserisci email"
"You cannot send more invitations","Non è possibile inviare ulteriori inviti"
"There are no sent invitations.","Non ci sono inviti inviati."
"%inviter_name invites you to join Private Sales Site","%inviter_name vi invita a partecipare al Sito di Vendita Privata"
"Invite to join Private Sales Site","Invito a partecipare al Sito di Vendita Privata"
"Please accept this invitation to join %store_name.","Accetta questo invito ad entrare su %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offre vendite di prodotti a tempo limitato solo ai membri."
"Please use the following link to create an account and view the deals:","Utilizza il seguente link per creare un account e visualizzare le offerte:"
"Invited Customers","Utenti invitati"
Conversion,Conversione
"Invitation Section","Sezione di invito"
Conversions,Conversazioni
"Customer Invitation Email Sender","Mittente email invito cliente"
"Customer Invitation Email Template","Template email invito cliente"
"Enable Invitations Functionality","Abilita funzionalità di inviti"
"Enable Invitations on Storefront","Abilita inviti nel frontend"
"Referred Customer Group","Gruppo cliente riferito"
"New Accounts Registration","Registrazione nuovo account"
"Allow Customers to Add Custom Message to Invitation Email","Permetti ai clienti di aggiungere un messaggio personalizzato all'email di invito"
"Customer Invitations","Inviti del cliente"
"Discard Selected","Rifiuta selezionato"
"Send Selected","Invia selezionato"
Registered,Registrato
"Valid Website","Website valido"
"Invitations Sent","Inviti inviati"
"Invitations Accepted","Inviti accettati"
"Accept Rate","Accetta il tasso"
"Discard Rate","Rifiuta tasso"
"Accepted and Purchased","Accettato e acquistato"
"Conversion Rate","Tasso di conversione"
Invitation,Invito
"Catalog Products List","Elenco prodotti catalogo"
"List of Products","Elenco di prodotti"
"Products Grid Template","Template griglia prodotti"
"Delete Orphan Balances","Elimina saldi orfani"
"Customer notified","Cliente notificato"
"More information","Ulteriori informazioni"
"Update Balance","Aggiornamento saldo"
"An amount on which to change the balance","Un importo su cui cambiare il saldo"
"Send Email Notification From the Following Store View","Invia email di notifica dalla vista negozio seguente"
"Failed to initialize customer","Inizializzazione cliente non riuscita"
"The store credit payment has been removed from shopping cart.","Il pagamento del credito negozio è stato rimosso dal carrello."
"You are not using store credit in your shopping cart.","Non stai usando il credito negozio nel tuo carrello."
"Please set a website ID.","Impostare l'ID del sito Web."
"By admin: %1. (%2)","Da admin: %1. (%2)"
"Please also set the Store ID.","Imposta anche l'ID Negozio."
"Please enter a store ID to send email notifications.","Inserisci un ID negozio per inviare le notifiche via email."
"Please specify a customer ID.","Specifica un ID cliente."
"Please specify a valid customer.","Specifica un cliente valido."
"You need a balance to save your balance history.","Hai bisogno di un bilancio per salvare la cronologia bilancio."
"There is no credit memo set to balance model.","Non c'è nessuna nota di credito impostata per il modello saldo."
"Order #%1, creditmemo #%2","Ordine #%1, nota di credito #%2"
"Unknown balance history action code","Codice di azione cronologia saldo sconosciuto"
"There is no order set to balance model.","Non c'è nessun ordine impostato per il modello saldo."
"You do not have enough store credit to complete this order.","Non hai abbastanza credito negozio per completare quest'ordine."
"You can't use more store credit than the order amount.","Non è possibile utilizzare più crediti negozio rispetto all'importo d'ordine."
"Store Credit Balance","Salfo Credito negozio"
"Refund Store Credit to Store Credit","Rimborso credito negozio per credito negozio"
"Refund Money to Store Credit","Rimborsa soldi al credito negozio"
"Refund to Store Credit","Rimborsa al credito negozio"
"Use Store Credit (%1 available)","Utilizza il credito negozio (%1 disponibile)"
"Your balance is:","Il saldo è:"
"Use Store Credit","Usa credito negozio"
available,disponibile
"Refunded to Store Credit","RImborsato al Credito negozio"
"Store Credit update","Aggiornamento Credito del Negozio"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Abbiamo aggiornato il tuo account <a href=""%store_url""> %store_name</a> e hai un credito che è possibile utilizzare per gli acquisti futuri."
"Your Store Credit balance is now %balance.","Il saldo del credito negozio è ora di %balance."
"Store credit","Credito negozio"
"Store credit available","Credito negozio disponibile"
"Your store credit was successfully applied","Il tuo credito del negozio è stato applicato con successo"
"Store Credit Options","Opzioni credito negozio"
"Enable Store Credit Functionality","Abilita funzionalità Credito negozio"
"Show Store Credit History to Customers","Mostra Cronologia credito negozio ai clienti"
"Refund Store Credit Automatically","Rimborsa credito negozio automaticamente"
"Store Credit Update Email Sender","Mittente Email aggiornamento credito negozio"
"Store Credit Update Email Template","Template Email aggiornamento credito negozio"
"A balance is needed to save a balance history.","E' necessario un saldo per salvare la cronologia del saldo."
"In Review","In Revisione"
Unrequested,"Non richiesta"
"This order already has associated case entity","Questo ordine ha già associato entità case"
"The case entity should not be empty.","Il Caso non può essere vuoto."
"Cannot update Case entity.","Non è possibile aggiornare il Caso."
"The ""%1"" should not be empty.","Il ""%1"" non deve essere vuoto."
"Case entity not found.","Caso non trovato."
"Case Update: New score for the order is %1. Previous score was %2.","Aggiornamento sul Caso: il Nuovo punteggio per l'ordine è %1. Il punteggio precedente era %2."
"Awaiting the Signifyd guarantee disposition.","In attesa delle disposizioni del garante Signifyd."
"Only single entrance of ""%1"" node is required.","Richiesto un solo ingresso al nodo ""%1""."
"Not empty value for ""%1"" node is required.","Il nodo ""%1"" richiede un valore non vuoto."
"%1 must implement %2","%1 deve implementare %2"
"Cannot generate message.","Non è possibile generare il messaggio."
"Message is generated.","Il messaggio è stato generato."
"Case with the same order id already exists.","Esiste già un caso con lo stesso id ordine."
"Fraud Protection Information","Informazione sulla Protezione Frodi"
"Signifyd Guarantee Decision","Decisione del Garante Signifyd"
"Fraud Protection Section","Sezione Protezione Frodi"
"Fraud Protection","Protezione Frodi"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Proteggi il tuo Negozio da frodi con la Protezione da Frodi Garantita da Signifyd."
"API URL","URL API"
"Admin Actions Log Archive","Archivio log azioni admin"
"Log Entry #%1","Voce log #%1"
"Log Entry Details","Dettagli voce log"
"Source Data","Dati sorgente"
"Value Before Change","Valore prima della modifica"
"Value After Change","Valore dopo modifica"
"No changes","Nessun cambiamento"
"The item was deleted","L'elemento è stato eliminato"
"Admin Actions Log","Log azioni Admin"
"Admin Actions Archive","Archivio azioni admin"
"actions' 'label","etichetta' ' azioni"
"%1 & applied","%1 & applicato"
"Tax Rates Import","Importa aliquote fiscali"
"Attributes Updated","Attributi aggiornati"
"Currency Rates Saved","Tassi di cambio salvati"
"Cache types: %1 ","Tipi di cache: %1 "
"Tax Rates Export","Esporta aliquote fiscali"
"Unknown callback function: %1::%2","Funzione di callback sconosciuta: %1::%2"
Success,Riuscito
Failure,"Non riuscito"
"This user is locked","Questo utente è bloccato"
"Admin User Data","Dati utente admin"
"Aggregated Information","Informazioni aggregate"
"Admin User ID","ID utente admin"
"Admin User Name","Nome utente admin"
IP-Address,"Indirizzo IP"
"X-Forwarded For","X-inoltrati per"
"Error Message","Messaggio di errore"
"Related Changes","Modifiche correlate"
Logging,Registrazione
"Admin Actions Log Archiving","Archiviazione Log azioni Admin"
"Log Entry Lifetime, Days","Durata entry log, Giorni"
"Log Archiving Frequency","Frequenza archiviazione log"
"Admin Actions Logging","Logging azioni admin"
"Enabled Actions","Azioni Abilitate"
"Mass Delete","Elimina massivamente"
"Mass Update","Aggiorna massivamente"
"Reindex Process","Reindicizza processo"
Clean,Cancella
Flush,Pulisci
"Update Payment","Aggiorna pagamento"
"Update State","Aggiorna Stato"
"Catalog Products","Catalogo prodotti"
"Catalog Categories","Categorie del catalogo"
"Catalog Ratings","Voti Catalogo"
"Catalog Reviews","Recensioni Catalogo"
"Catalog Attributes","Attributi Catalogo"
"Catalog Product Templates","Template Catalogo prodotti"
"Admin Sign In","Registra Admin"
"System Configuration","Configurazione sistema"
"Admin My Account","Account Admin"
"Sales Orders","Ordini di vendita"
"Sales Order Status","Status Ordini"
"Sales Invoices","Fatture di vendita"
"Sales Shipments","Spedizioni vendite"
"Sales Credit Memos","Note credito vendita"
"Admin Permission Roles","Permessi ruoli Admin"
"Admin Permission Users","Permessi Utenti Admin"
"Manage Websites","Gestisci Website"
"Manage Store Views","Gestisci Viste negozio"
"Manage Design","Gestisci Design"
"Transactional Emails","Email Transazionali"
"System Backups","Backup di sistema"
"Customer Tax Classes","Classi Tassa Cliente"
"Catalog Product Tax Classes","Classi Tassa Prodotto"
"Tax Rates","Aliquote fiscali"
"Archive File","File Archivio"
"Action Group","Gruppo azioni"
Result,Risultato
"Full Action Name","Nome azione completa"
"Full Details","Tutti i dettagli"
"Index Management","Gestione indice"
"Indexer Management","Gestione indici"
"Update by Schedule","Aggiorna da pianificazione"
"Update on Save","Aggiorna al salvataggio"
"Reindex required","Reindex necessario"
Ready,Pronto
"%1 index is locked by another reindex process. Skipping.","L'indice %1 è bloccato da un altro processo di reindicizzare. Verrà ignorato."
"Please select indexers.","Seleziona indicizzatori."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indicizzatori sono in modalità ""Aggiorna da pianificazione""."
"We couldn't change indexer(s)' mode because of an error.","Non è possibile cambiare modalità indicizzatori a causa di un errore."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indicizzatori sono in modalità ""Aggiornamento su Salva""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Uno o più <a href=""%1""> indicizzatori non sono validi</a>. Assicurarsi che il <a href=""%2"" target=""_blank"">cron di Magento </a> sia in esecuzione."
"State for the same indexer","Stato per lo stesso indicizzatore"
"State for the same view","Stato per la stessa vista"
"Field '%1' not found","Campo '%1' non trovato"
"Some Exception Message","Qualche messaggio di eccezione"
"Change indexer mode","Modifica della modalità di indicizzatore"
Indexer,Indicizzatore
"Return Html Version","Restituisci la versione Html"
"Load Template","Carica Template"
"Edit Email Template","Modifica Template Email"
"New Email Template","Nuovo template email"
"Currently Used For","Attualmente utilizzato per"
Unknown,Sconosciuto
"You deleted the email template.","Hai eliminato il template email."
"The email template is currently being used.","Il template email è attualmente in uso."
"We can't delete email template data right now. Please review log and try again.","Non è possibile eliminare i dati dell'email template. Controlla i log e riprova."
"We can't find an email template to delete.","Non è possibile trovare un template email da eliminare."
"Edit System Template","Modifica Template di Sistema"
"New System Template","Nuovo Template di Sistema"
"Email Preview","Anteprima email"
"An error occurred. The email template can not be opened for preview.","Si è verificato un errore. Il template email non può essere aperto per l'anteprima."
"This email template no longer exists.","Questo template email non esiste più."
"You saved the email template.","Hai salvato il template email."
"Area is already set","Area già impostata"
"Design config must have area and store.","Config design deve avere un'area e un negozio."
"Base Unsecure URL","Base URL non sicura"
"Base Secure URL","Base URL sicura"
"General Contact Name","Nome generale di contatto"
"General Contact Email","Email generale di contatto"
"Sales Representative Contact Name","Nome di contatto Rappresentante Vendite"
"Sales Representative Contact Email","Email di contatto Rappresentante Vendite"
"Custom1 Contact Name","Nome Contatto Personalizzato1"
"Custom1 Contact Email","Email di contatto Custom1"
"Custom2 Contact Name","Nome di contatto Personalizzato2"
"Custom2 Contact Email","Email di contatto Personalizzata2"
"Store Hours","Orario Negozio"
"Street Address 1","Indirizzo 1"
"Street Address 2","Indirizzo 2"
"Store Contact Information","Informazioni di contatto Negozio"
"Template Variables","Variabili Template"
"Please enter a template name.","Inserisci un nome al template."
"Duplicate Of Template Name","Duplicato del nome del template"
"Invalid transactional email code: %1","Codice email transazionale non valido: %1"
"Requested invalid store ""%1""","Negozio ""%1"" richiesto non valido"
"""file"" parameter must be specified","il parametro ""file"" deve essere specificato"
"Contents of %s could not be loaded or is empty","Contenuto di %s non può essere caricato o è vuoto"
"""file"" parameter must be specified and must not be empty","il parametro ""file"" deve essere specificato e non deve essere vuoto"
"Design params must be set before calling this method","Parametri Design devono essere impostati prima di chiamare questo metodo"
"CSS inlining error:","Errore CSS Inline:"
"Error filtering template: %s","Errore sul filtro template: %s"
"We're sorry, an error has occurred while generating this content.","Siamo spiacenti, si è verificato un errore durante la generazione di questo contenuto."
"Invalid sender data","Dati mittente non validi"
"Load default template","Carica template predefinito"
"Are you sure you want to strip tags?","Sei sicuro di che voler rimuovere i tag?"
"The template did not load. Please review the log for details.","Il template non è stato caricato. Consulta i log per i dettagli."
"Thank you, %store_name","Grazie, %store_name"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Tipi di file consentiti: jpg, jpeg, gif, png. Per ottimizzare il logo per schermi ad alta risoluzione, caricare un'immagine che sia 3x le dimensioni normali e quindi specificare le dimensioni 1x nei campi larghezza/altezza qui sotto."
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Immettere il numero di pixel, senza aggiungere ""px""."
"Logo Width","Larghezza logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Inserire l'altezza dell'immagine in pixel senza aggiungere ""px""."
"Logo Height","Altezza del logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Il modello di email basato sul tema scelto, ritorna quando è selezionata l'opzione ""Predefinito""."
"Header Template","Template Header"
"Footer Template","Template Footer"
"We're sorry, an error has occurred while generating this email.","Siamo spiacenti, si è verificato un errore durante la generazione di questa email."
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Tipi di file consentiti: jpg, jpeg, gif, png. Per ottimizzare il logo per schermi ad alta risoluzione, caricare un'immagine di 3 volte le dimensioni normali e quindi specificare le dimensioni normali nei campi larghezza/altezza qui sotto."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Immettere il numero di pixel, senza aggiungere ""px""."
"Read Details","Maggiori dettagli"
"Mark as Read","Segna come già letto"
"Messages Inbox","Messaggi in arrivo"
"You have %1 new system messages","Nuovi messaggi di sistema: %1"
"You have %1 new system message","Nuovi messaggi di sistema: %1"
"Incoming Message","Messaggio in arrivo"
close,chiudi
Notifications,Notifiche
"The message has been marked as Read.","Il messaggio è stato contrassegnato come letto."
"We couldn't mark the notification as Read because of an error.","Non è stato possibile segnare la notifica come letta a causa di un errore."
"Please select messages.","Si prega di selezionare i messaggi."
"A total of %1 record(s) have been marked as Read.","Elementi segnati come letti: %1."
"Total of %1 record(s) have been removed.","Elementi rimossi: %1."
"We couldn't remove the messages because of an error.","Non è stato possibile eliminare i messaggi a causa di un errore."
"The message has been removed.","Il messaggio è stato eliminato."
"1 Hour","1 ora"
"2 Hours","2 ore"
"6 Hours","6 ore"
"12 Hours","12 ore"
"24 Hours","24 ore"
critical,critico
major,maggiore
minor,minore
notice,nota
"Wrong message type","TIpo messaggio errato"
"Wrong notification ID specified.","È stato specificato un ID di notifica errato."
